N,k,v,w,t,Scattering Count,Trials
4,21,3,2,3,173,200
4,21,3,2,4,0,200
4,21,4,2,3,197,200
4,21,4,2,4,30,200
4,21,5,2,3,199,200
4,21,5,2,4,151,200
4,22,3,2,3,170,200
4,22,3,2,4,0,200
4,22,4,2,3,195,200
4,22,4,2,4,32,200
4,22,5,2,3,200,200
4,22,5,2,4,133,200
4,23,3,2,3,161,200
4,23,3,2,4,0,200
4,23,4,2,3,197,200
4,23,4,2,4,16,200
4,23,5,2,3,199,200
4,23,5,2,4,112,200
4,24,3,2,3,169,200
4,24,3,2,4,0,200
4,24,4,2,3,193,200
4,24,4,2,4,10,200
4,24,5,2,3,199,200
4,24,5,2,4,120,200
4,25,3,2,3,156,200
4,25,3,2,4,0,200
4,25,4,2,3,196,200
4,25,4,2,4,5,200
4,25,5,2,3,200,200
4,25,5,2,4,112,200
5,21,3,2,3,195,200
5,21,3,2,4,0,200
5,21,4,2,3,200,200
5,21,4,2,4,122,200
5,21,5,2,3,200,200
5,21,5,2,4,193,200
5,22,3,2,3,190,200
5,22,3,2,4,0,200
5,22,4,2,3,200,200
5,22,4,2,4,114,200
5,22,5,2,3,200,200
5,22,5,2,4,189,200
5,23,3,2,3,197,200
5,23,3,2,4,0,200
5,23,4,2,3,199,200
5,23,4,2,4,115,200
5,23,5,2,3,200,200
5,23,5,2,4,179,200
5,24,3,2,3,190,200
5,24,3,2,4,0,200
5,24,4,2,3,200,200
5,24,4,2,4,76,200
5,24,5,2,3,200,200
5,24,5,2,4,183,200
5,25,3,2,3,193,200
5,25,3,2,4,0,200
5,25,4,2,3,199,200
5,25,4,2,4,67,200
5,25,5,2,3,199,200
5,25,5,2,4,176,200
6,21,3,2,3,197,200
6,21,3,2,4,17,200
6,21,4,2,3,200,200
6,21,4,2,4,168,200
6,21,5,2,3,200,200
6,21,5,2,4,197,200
6,22,3,2,3,200,200
6,22,3,2,4,11,200
6,22,4,2,3,200,200
6,22,4,2,4,176,200
6,22,5,2,3,200,200
6,22,5,2,4,197,200
6,23,3,2,3,198,200
6,23,3,2,4,8,200
6,23,4,2,3,200,200
6,23,4,2,4,171,200
6,23,5,2,3,200,200
6,23,5,2,4,198,200
6,24,3,2,3,199,200
6,24,3,2,4,2,200
6,24,4,2,3,199,200
6,24,4,2,4,142,200
6,24,5,2,3,200,200
6,24,5,2,4,199,200
6,25,3,2,3,195,200
6,25,3,2,4,2,200
6,25,4,2,3,200,200
6,25,4,2,4,146,200
6,25,5,2,3,200,200
6,25,5,2,4,193,200
7,21,3,2,3,200,200
7,21,3,2,4,72,200
7,21,4,2,3,200,200
7,21,4,2,4,193,200
7,21,5,2,3,200,200
7,21,5,2,4,199,200
7,22,3,2,3,199,200
7,22,3,2,4,59,200
7,22,4,2,3,200,200
7,22,4,2,4,191,200
7,22,5,2,3,200,200
7,22,5,2,4,200,200
7,23,3,2,3,199,200
7,23,3,2,4,54,200
7,23,4,2,3,200,200
7,23,4,2,4,192,200
7,23,5,2,3,200,200
7,23,5,2,4,200,200
7,24,3,2,3,200,200
7,24,3,2,4,43,200
7,24,4,2,3,200,200
7,24,4,2,4,188,200
7,24,5,2,3,200,200
7,24,5,2,4,200,200
7,25,3,2,3,200,200
7,25,3,2,4,21,200
7,25,4,2,3,200,200
7,25,4,2,4,177,200
7,25,5,2,3,200,200
7,25,5,2,4,199,200
8,21,3,2,3,200,200
8,21,3,2,4,136,200
8,21,4,2,3,200,200
8,21,4,2,4,197,200
8,21,5,2,3,200,200
8,21,5,2,4,200,200
8,22,3,2,3,200,200
8,22,3,2,4,132,200
8,22,4,2,3,200,200
8,22,4,2,4,189,200
8,22,5,2,3,200,200
8,22,5,2,4,200,200
8,23,3,2,3,200,200
8,23,3,2,4,105,200
8,23,4,2,3,200,200
8,23,4,2,4,198,200
8,23,5,2,3,200,200
8,23,5,2,4,200,200
8,24,3,2,3,199,200
8,24,3,2,4,101,200
8,24,4,2,3,200,200
8,24,4,2,4,196,200
8,24,5,2,3,200,200
8,24,5,2,4,199,200
8,25,3,2,3,199,200
8,25,3,2,4,70,200
8,25,4,2,3,200,200
8,25,4,2,4,191,200
8,25,5,2,3,200,200
8,25,5,2,4,199,200
